|index|metroId|metropolitanAreas|latitude|longitude|CDD|URB_AREA|URB_AREA_CORE|FRAGMENTATION|POP_DEN|PWM_EX_CORE|T_Y0_14_SH_NAT|T_Y15_64_SH_NAT|T_Y65_MAX_SH_NAT|CONSTR_RAT|TREECOVER_SHARE_CORE|CITY_REL_ROADS|CITY_REL_WATER|CITY_EVAPOTRANS
52|52|CL025|Puerto Montt|-41.4718121|-72.939621|0.0|15.0|15.0|0.3|239.0|25.8|2.4|2.2|1.9|0.008987417615338526|79.6|||
53|53|COL01|Bogota D.C.|4.6533326|-74.083652|0.0|412.0|393.0|0.1|3282.0|32.5|16.0|19.2|17.7|0.15541305167861186|14.6|||
54|54|COL02|Medellin|6.2443382000000005|-75.573553|19.0|158.0|153.0|0.2|3840.0|27.3|5.8|8.3|9.2|0.16475495307612095|63.4|||
55|55|COL03|Cali|3.4517922999999997|-76.5324943|209.0|104.0|100.0|0.2|1622.0|13.6|4.8|5.9|6.0|0.06349206349206349|43.7|||
56|56|COL04|Barranquilla|10.9799669|-74.80130849999999|2391.0|155.0|117.0|0.6|1586.0|19.1|4.5|4.7|4.2|0.11191335740072202|5.0|||
57|57|COL05|Cartagena|37.6267868|-1.0006184|2176.0|97.0|76.0|0.6|607.0|18.4|2.5|2.5|2.4|0.04903943377148635|21.8|||
58|58|COL06|Bucaramanga|7.111461099999999|-73.11728690000001|465.0|59.0|59.0|0.4|905.0|26.8|2.0|2.5|2.6|0.0479285134037368|54.0|||
59|59|COL07|Cucuta|45.9893785|23.2575051|1179.0|93.0|93.0|0.5|540.0|29.9|1.7|1.7|1.6|0.06187624750499002|39.5|||
60|60|COL08|Pereira|4.8142613|-75.69467759999999|148.0|21.0|21.0|0.3|974.0|23.5|1.2|1.5|1.7|0.030791788856304986|43.2|||
61|61|COL09|Ibague|4.4446595|-75.2430012|272.0|11.0|11.0|0.2|396.0|26.7|1.1|1.2|1.4|0.007936507936507936|67.4|||
62|62|COL10|Manizales|5.0680703000000005|-75.5173252|103.0|18.0|18.0|0.4|498.0|25.3|0.7|1.0|1.2|0.019933554817275746|66.9|||
63|63|COL11|Santa Marta|17.0920157|-88.6118965|369.0|41.0|41.0|0.2|202.0|19.0|1.1|1.0|0.8|0.01735817104149026|82.1|||
64|64|COL12|Pasto|1.2146013|-77.2782755|0.0|17.0|17.0|0.2|360.0|14.5|0.8|1.0|0.9|0.014096185737976783|65.7|||
65|65|COL13|Armenia|40.7696272|44.6736646|240.0|8.0|7.0|0.7|929.0|22.9|0.7|0.9|1.1|0.018475750577367205|55.4|||
66|66|COL14|Villavicencio|4.1315113|-73.6206667|611.0|17.0|17.0|0.2|359.0|34.3|1.0|1.0|0.8|0.012869038607115822|20.7|||
67|67|COL15|Monteria|8.7558921|-75.887029|1884.0|23.0|23.0|0.2|139.0|23.1|1.0|0.9|0.8|0.00736|1.9|||
68|68|COL16|Valledupar|10.465036099999999|-73.2528426|1660.0|24.0|24.0|0.2|104.0|24.0|1.0|0.9|0.7|0.005649717514124294|29.1|||
69|69|COL17|Buenaventura|40.1766024|-4.849875599999999|906.0|2.0|2.0|0.3|56.0|15.3|0.9|0.8|0.6|0.00028364770954474543|92.2|||
70|70|COL18|Neiva|2.9263127|-75.2891733|321.0|14.0|14.0|0.3|275.0|21.6|0.7|0.7|0.7|0.01131770412287793|35.2|||
71|71|COL19|Palmira|3.5308373|-76.2988048|220.0|18.0|18.0|0.3|299.0|15.6|0.5|0.7|0.8|0.017769002961500493|33.0|||
72|72|COL20|Popayan|2.4422295|-76.6072368|0.0|14.0|14.0|0.4|566.0|13.0|0.5|0.6|0.6|0.02880658436213992|43.6|||
73|73|COL21|Sincelejo|9.31542935|-75.43297645405696|2049.0|18.0|18.0|0.4|961.0|21.8|0.6|0.6|0.6|0.06382978723404255|5.8|||
74|74|COL25|Riohacha|11.544634|-72.90697840000001|1187.0|8.0|8.0|0.4|81.0|19.2|0.7|0.5|0.3|0.0025823111684958036|33.6|||
75|75|CZ001|Prague|50.0874654|14.4212535|10.0|579.0|227.0|27.6|370.0|17.1|20.4|20.2|20.2|0.10057321521625846|11.5|12.14786658031088|0.056121278638783675|2.86433121761658
76|76|CZ002|Brno|49.1922443|16.6113382|9.0|181.0|77.0|37.4|271.0|19.3|6.8|6.9|7.1|0.06761299962644751|30.0|5.648747409326425|0.026096345825260363|1.3319115284974092
77|77|CZ003|Ostrava|49.8349139|18.2820084|12.0|272.0|138.0|13.0|511.0|30.2|6.8|7.0|6.8|0.19074333800841514|16.1|3.0090077720207256|0.013901153958468913|0.7094904145077721
78|78|CZ004|Plzen|49.7477415|13.377524900000001|3.0|126.0|42.0|48.5|170.0|18.3|3.2|3.3|3.4|0.06216082881105081|19.9|4.277180051813471|0.019759915199029792|1.0085112694300518
